VendorID,tpep_pickup_datetime,trip_distance,trip_duration_min,fare_amount
2,2023-02-23 14:59:05,14.34,7053,80.0
2,2023-01-16 10:20:33,17.69,6179,70.0
2,2023-04-14 13:01:39,3.29,5382,17.0
2,2023-04-14 13:01:39,1.22,5369,10.0
2,2023-03-03 12:53:19,40.02,4248,252.9
2,2023-05-28 17:34:42,1.83,4170,12.1
2,2023-06-16 14:43:34,8.3,4028,45.7
2,2023-03-03 18:01:42,16.2,3993,70.0
2,2023-05-06 20:02:53,16.62,3868,70.0
2,2023-04-11 18:03:40,0.58,3721,8.6
2,2023-04-11 17:58:58,8.33,3715,33.1
2,2023-04-11 18:03:40,0.41,3714,6.5
2,2023-04-03 00:22:59,12.21,3711,46.4
2,2023-04-11 17:58:58,6.33,3698,33.1
2,2023-06-18 03:02:01,21.32,3619,141.6
2,2023-03-24 23:09:55,1.31,3591,16.3
2,2023-03-24 23:09:55,2.5,3572,16.3
2,2023-02-22 11:28:46,35.94,3358,137.4
2,2023-02-19 10:58:06,7.55,3093,31.7
2,2023-01-07 13:11:57,1.86,3041,12.8
2,2023-02-12 17:04:48,5.57,3003,20.5
2,2023-02-12 17:04:48,21.74,2983,98.9
2,2023-01-11 08:34:15,23.22,2948,70.0
2,2023-01-26 12:25:33,1.04,2907,8.6
2,2023-02-26 07:00:06,10.13,2829,45.0
2,2023-01-24 13:37:01,17.18,2766,70.0
2,2023-01-20 12:17:48,1.24,2725,10.7
2,2023-04-13 14:01:53,2.47,2720,17.7
2,2023-06-24 19:46:53,14.77,2715,98.9
2,2023-04-15 19:23:22,2.18,2644,13.5
2,2023-02-15 11:24:12,17.59,2641,70.0
2,2023-01-01 18:45:20,3.19,2596,38.7
2,2023-01-01 18:45:20,0.01,2596,3.0
2,2023-06-04 04:48:51,8.5,2576,36.6
2,2023-03-19 17:59:13,3.13,2558,18.4
2,2023-01-25 13:40:06,4.39,2501,24.0
2,2023-06-07 14:59:06,1.46,2482,10.7
2,2023-01-31 16:45:36,33.5,2443,70.2
2,2023-02-14 14:57:22,1.25,2407,11.4
2,2023-03-14 17:10:16,2.09,2389,19.8
2,2023-01-31 16:45:36,17.18,2387,70.0
2,2023-06-24 17:14:04,13.62,2381,70.0
2,2023-02-26 18:44:53,16.65,2360,70.0
2,2023-03-07 15:35:53,8.11,2345,32.4
2,2023-06-25 21:37:25,4.73,2339,24.7
2,2023-03-07 15:35:53,4.28,2332,23.3
2,2023-04-29 18:30:52,0.4,2258,6.5
2,2023-04-29 18:30:52,2.48,2254,24.7
2,2023-01-13 15:37:54,1.48,2233,13.5
2,2023-06-16 14:43:13,5.81,2226,38.7
